SM0	SMITH
PTN	PAYTON
MSLR	MCELROY
KRKT	CROCKETT
KRFS	GROVES
KLMNT	CLEMENT
LSL	LESLIE
KRTRKT	CARTWRIGHT
TK	DICKEY
MKL	MCGILL
TP	DUBOIS
MNS	MUNIZ
ARN	ERWIN
SLF	SELF
TLPRT	TOLBERT
TMPS	DEMPSEY
SSNRS	CISNEROS
SL	SEWELL
LTM	LATHAM
KRLNT	GARLAND
FJL	VIGIL
TP	TAPIA
STRLNK	STERLING
RN	RAINEY
NRT	NORWOOD
LS	LACY
STRT	STROUD
MT	MEADE
AMS	AMOS
TPTN	TIPTON
LRT	LORD
KN	KUHN
HLRT	HILLIARD
PNL	BONILLA
TK	TEAGUE
KRTN	COURTNEY
KN	GUNN
H	HO
KRNT	GREENWOOD
KR	CORREA
RS	REECE
ASTN	WESTON
P	POE
TRNT	TRENT
PNT	PINEDA
FPS	PHIPPS
FR	FREY
KSR	KAISER
AMS	AMES
PJ	PAIGE
KNTR	GUNTER
XMT	SCHMITT
MLKN	MILLIGAN
ASPNS	ESPINOSA
KRLTN	CARLTON
PTN	BOWDEN
FKRS	VICKERS
LR	LOWRY
PRXRT	PRITCHARD
KSTL	COSTELLO
PPR	PIPER
MKLLN	MCCLELLAN
LFL	LOVELL
TR	DREW
XHN	SHEEHAN
KK	QUICK
HX	HATCH
TPSN	DOBSON
SNK	SINGH
JFRS	JEFFRIES
HLNKSR0	HOLLINGSWORTH
SRNSN	SORENSEN
MS	MEZA
FNK	FINK
TNL	DONNELLY
PRL	BURRELL
PRN	BRUNO
TMLNSN	TOMLINSON
KLPRT	COLBERT
PLNKS	BILLINGS
RX	RITCHIE
HLTN	HELTON
S0RLNT	SUTHERLAND
PPLS	PEOPLES
MKN	MCQUEEN
KSTN	GASTON
TMSN	THOMASON
MKNL	MCKINLEY
JFNS	GIVENS
KRKR	CROCKER
FJL	VOGEL
