D340	DUDLEY
N450	NOLAN
B452	BLANCHARD
R120	RIVAS
B655	BRENNAN
M200	MEJIA
K500	KANE
B535	BENTON
J200	JOYCE
B240	BUCKLEY
H400	HALEY
V453	VALENTINE
M320	MADDOX
R200	RUSSO
M252	MCKNIGHT
B200	BUCK
M500	MOON
M254	MCMILLAN
C621	CROSBY
B620	BERG
D325	DOTSON
M200	MAYS
R200	ROACH
C620	CHURCH
C500	CHAN
R255	RICHMOND
M320	MEADOWS
F425	FAULKNER
O540	ONEILL
K510	KNAPP
K450	KLINE
B600	BARRY
O200	OCHOA
J212	JACOBSON
G000	GAY
A160	AVERY
H536	HENDRICKS
H650	HORNE
S163	SHEPARD
H163	HEBERT
C600	CHERRY
C635	CARDENAS
M253	MCINTYRE
W350	WHITNEY
W460	WALLER
H455	HOLMAN
D543	DONALDSON
C530	CANTU
T640	TERRELL
M650	MORIN
G421	GILLESPIE
F532	FUENTES
T455	TILLMAN
S516	SANFORD
B534	BENTLEY
P200	PECK
K000	KEY
S420	SALAS
R452	ROLLINS
G514	GAMBLE
D250	DICKSON
B340	BATTLE
S535	SANTANA
C166	CABRERA
C615	CERVANTES
H000	HOWE
H535	HINTON
H640	HURLEY
S152	SPENCE
Z560	ZAMORA
Y520	YANG
M254	MCNEIL
S620	SUAREZ
C200	CASE
P300	PETTY
G430	GOULD
M216	MCFARLAND
S512	SAMPSON
C616	CARVER
B600	BRAY
R260	ROSARIO
M235	MACDONALD
S330	STOUT
H236	HESTER
M453	MELENDEZ
D450	DILLON
F640	FARLEY
H160	HOPPER
G400	GALLOWAY
P320	POTTS
B656	BERNARD
J560	JOYNER
S350	STEIN
A260	AGUIRRE
O216	OSBORN
M626	MERCER
B536	BENDER
F652	FRANCO
R453	ROWLAND
S220	SYKES
B525	BENJAMIN
T612	TRAVIS
P230	PICKETT
C650	CRANE
S620	SEARS
M000	MAYO
D541	DUNLAP
H350	HAYDEN
W436	WILDER
M200	MCKAY
C100	COFFEY
M263	MCCARTY
E520	EWING
C400	COOLEY
V250	VAUGHAN
B560	BONNER
C350	COTTON
H436	HOLDER
S362	STARK
F640	FERRELL
C536	CANTRELL
F435	FULTON
L500	LYNN
L300	LOTT
C436	CALDERON
R200	ROSA
P463	POLLARD
H160	HOOPER
B620	BURCH
M450	MULLEN
F600	FRY
R340	RIDDLE
L100	LEVY
D130	DAVID
D200	DUKE
O354	ODONNELL
G000	GUY
M240	MICHAEL
B630	BRITT
F636	FREDERICK
D263	DAUGHERTY
B626	BERGER
D463	DILLARD
A423	ALSTON
J612	JARVIS
F600	FRYE
R200	RIGGS
C500	CHANEY
O350	ODOM
D100	DUFFY
F321	FITZPATRICK
V452	VALENZUELA
M640	MERRILL
M600	MAYER
A416	ALFORD
M216	MCPHERSON
A213	ACEVEDO
D515	DONOVAN
B660	BARRERA
A416	ALBERT
C300	COTE
R400	REILLY
C513	COMPTON
R553	RAYMOND
M500	MOONEY
M250	MCGOWAN
C613	CRAFT
C414	CLEVELAND
C455	CLEMONS
W500	WYNN
N425	NIELSEN
B630	BAIRD
S353	STANTON
S536	SNIDER
R242	ROSALES
B623	BRIGHT
W300	WITT
S363	STUART
H200	HAYS
H435	HOLDEN
R343	RUTLEDGE
K500	KINNEY
C455	CLEMENTS
C235	CASTANEDA
S436	SLATER
H500	HAHN
E562	EMERSON
C563	CONRAD
B620	BURKS
D450	DELANEY
P300	PATE
L522	LANCASTER
S300	SWEET
J232	JUSTICE
T250	TYSON
S610	SHARPE
W314	WHITFIELD
T400	TALLEY
M220	MACIAS
I650	IRWIN
B620	BURRIS
R341	RATLIFF
M260	MCCRAY
M350	MADDEN
K155	KAUFMAN
B200	BEACH
G100	GOFF
C200	CASH
B435	BOLTON
M213	MCFADDEN
L150	LEVINE
G300	GOOD
B620	BYERS
K624	KIRKLAND
K300	KIDD
W625	WORKMAN
C650	CARNEY
D400	DALE
M243	MCLEOD
H425	HOLCOMB
E524	ENGLAND
F520	FINCH
H300	HEAD
B630	BURT
H536	HENDRIX
S200	SOSA
H500	HANEY
F652	FRANKS
S625	SARGENT
N120	NIEVES
D520	DOWNS
R252	RASMUSSEN
B630	BIRD
H300	HEWITT
L532	LINDSAY
L000	LE
F655	FOREMAN
V452	VALENCIA
O540	ONEIL
D426	DELACRUZ
V525	VINSON
D222	DEJESUS
H300	HYDE
F612	FORBES
G450	GILLIAM
G360	GUTHRIE
W350	WOOTEN
H160	HUBER
B640	BARLOW
B400	BOYLE
M255	MCMAHON
B256	BUCKNER
R200	ROCHA
P230	PUCKETT
L524	LANGLEY
K542	KNOWLES
C200	COOKE
V422	VELAZQUEZ
W340	WHITLEY
N400	NOEL
V520	VANG
S000	SHEA
R200	ROUSE
H634	HARTLEY
M143	MAYFIELD
E436	ELDER
R525	RANKIN
H500	HANNA
C500	COWAN
L260	LUCERO
A600	ARROYO
S423	SLAUGHTER
H200	HAAS
O254	OCONNELL
M560	MINOR
K536	KENDRICK
S640	SHIRLEY
K534	KENDALL
B260	BOUCHER
A626	ARCHER
B200	BOGGS
O340	ODELL
D263	DOUGHERTY
A536	ANDERSEN
N400	NEWELL
C600	CROWE
W520	WANG
F635	FRIEDMAN
B453	BLAND
